vaultName,Deposit Change,Borrow Change,Current Deposits,Current Borrows
ionAEROb,982589.19,122660.78,982589.19,142733.94
ionEURCb,1980241.09,45468.42,1980241.09,45497.1
ionOGNb,78757.66,,78757.66,
ionRSRb,10901401.38,167543.8,10901401.38,174398.53
ionUSDCb,33736205.77,1702221.81,33736205.77,1704861.42
ionUSDplusb,1902707.92,833.99,1902707.92,838.49
ionUSDzb,2653594.38,187983.13,2653594.38,236295.43
ionWETHb,50252711.12,1052537.72,50252711.12,1055005.33
ioncbBTCb,1145927.49,-18529.21,1145927.49,10984.7
ioncbETHb,748439.74,4857.62,748439.74,4858.0
ioneUSDb,11367604.92,820019.61,11367604.92,877201.77
ionezETHb,1574673.73,,1574673.73,
ionsUSDzb,254880.99,50977.42,254880.99,51734.52
ionuSOLb,425467.78,61766.27,425467.78,61770.43
ionuSUIb,299652.73,71690.41,299652.73,71692.46
ionwUSDMb,589745.58,66418.68,589745.58,66423.16
ionwUSDplusb,1757437.44,,1757437.44,
ionweETHb,777451.58,22083.71,777451.58,22167.96
ionwstETHb,1872850.99,17691.3,1872850.99,18049.46
ionwsuperOETHb,6509080.04,10.72,6509080.04,28.18
